79871,-0.37,0.00,0.00
79881,-0.16,0.00,-0.04
79891,-0.00,0.00,-0.12
79901,0.68,0.00,-0.21
79911,0.55,0.00,-0.32
79921,0.46,0.00,-0.43
79931,0.39,0.00,-0.52
79941,0.35,0.00,-0.60
79951,0.32,0.00,-0.67
79961,0.30,0.00,-0.73
79971,0.29,-0.00,-0.79
79981,-0.04,-0.01,-0.83
79991,0.05,-0.00,-0.86
80001,0.39,0.00,-0.90
80011,0.35,0.00,-0.92
80021,0.33,0.00,-0.94
80031,0.31,0.00,-0.96
80041,0.30,0.00,-0.98
80051,0.29,0.00,-0.99
80061,0.28,0.00,-1.00
80071,0.10,-0.00,-1.02
80081,0.32,0.00,-1.03
80091,0.30,0.00,-1.04
80101,0.29,0.00,-1.05
80111,0.29,0.00,-1.06
80121,0.13,-0.00,-1.07
80131,0.03,-0.01,-1.08
80141,0.10,-0.00,-1.09
80151,0.14,-0.00,-1.09
80161,0.18,-0.00,-1.10
80171,0.20,0.00,-1.10
80181,0.46,0.01,-1.11
80191,0.41,0.01,-1.11
80201,0.38,0.01,-1.11
80211,0.35,0.01,-1.12
80221,0.33,0.01,-1.12
80231,0.31,0.01,-1.12
80241,0.30,0.01,-1.12
80251,0.29,0.01,-1.12
80261,0.28,0.01,-1.13
80271,0.18,0.00,-1.13
80281,0.20,0.00,-1.13
80291,0.12,-0.00,-1.14
80301,0.16,0.00,-1.14
80311,0.28,0.01,-1.14
80321,0.28,0.01,-1.14
80331,0.28,0.01,-1.14
80341,0.28,0.01,-1.14
80351,0.28,0.01,-1.05
80361,0.36,0.01,-1.08
80371,0.34,0.01,-1.09
80381,0.32,0.01,-1.11
80391,0.31,0.01,-1.12
80401,0.30,0.01,-1.12
80441,0.27,0.01,-1.15
80461,0.27,0.01,-1.14
80471,0.27,0.01,-1.22
80521,0.24,0.01,-1.16
80531,0.25,0.01,-1.16
80541,0.25,0.01,-1.16
80561,0.25,0.01,-1.15
80571,0.25,0.01,-1.15
80601,0.25,0.01,-1.15
80611,0.25,0.01,-1.15
80621,0.25,0.01,-1.15
80631,0.25,0.01,-1.14
80651,0.30,0.01,-1.14
80661,0.36,0.01,-1.14
80681,0.31,0.01,-1.14
80691,0.16,0.01,-1.14
80701,0.11,0.01,-1.15
80711,0.08,0.01,-1.15
80721,0.12,0.01,-1.15
80731,0.16,0.01,-1.15
80741,0.32,0.02,-1.15
80751,0.30,0.02,-1.15
80761,0.36,0.02,-1.15
80781,0.31,0.02,-1.15
80791,0.30,0.02,-1.15
80811,0.28,0.02,-1.15
80831,0.22,0.01,-1.15
80851,0.23,0.01,-1.15
80861,0.23,0.02,-1.15
80881,0.23,0.02,-1.15
80891,0.30,0.02,-1.15
80911,0.27,0.02,-1.15
80921,0.27,0.02,-1.14
80941,0.15,0.02,-1.14
80951,0.17,0.02,-1.14
80961,0.19,0.02,-1.14
81021,0.27,0.02,-1.14
81031,0.27,0.02,-1.14
81081,0.34,0.02,-1.14
81111,0.34,0.02,-1.14
81121,0.32,0.02,-1.15
81131,0.18,0.02,-1.15
81151,0.22,0.02,-1.16
81161,0.23,0.02,-1.16
81171,0.24,0.02,-1.16
81181,0.19,0.02,-1.16
81201,0.22,0.02,-1.16
81211,0.24,0.03,-1.16
81221,0.24,0.03,-1.09
81241,0.21,0.02,-1.11
81281,0.35,0.03,-1.14
81291,0.33,0.02,-1.14
81301,0.31,0.02,-1.15
81351,0.27,0.02,-1.21
81381,0.29,0.03,-1.19
81431,0.23,0.02,-1.18
81441,0.23,0.02,-1.17
81451,0.18,0.02,-1.17
81471,0.21,0.02,-1.17
81481,0.28,0.02,-1.17
81511,0.31,0.03,-1.17
81521,0.30,0.03,-1.17
81531,0.28,0.03,-1.18
81581,0.25,0.03,-1.17
81591,0.19,0.02,-1.17
81601,0.20,0.03,-1.17
81631,0.27,0.03,-1.16
81671,0.20,0.02,-1.16
81701,0.23,0.03,-1.17
81741,0.27,0.03,-1.11
81761,0.22,0.03,-1.14
81771,0.17,0.02,-1.21
81781,0.25,0.03,-1.21
81831,0.28,0.03,-1.19
81841,0.28,0.03,-1.19
81851,0.27,0.03,-1.19
81861,0.26,0.03,-1.19
81931,0.22,0.03,-1.19
81971,0.24,0.03,-1.19
81981,0.24,0.03,-1.18
81991,0.24,0.03,-1.18
82001,0.24,0.03,-1.18
82021,0.29,0.03,-1.18
82031,0.28,0.03,-1.18
82041,0.14,0.03,-1.18
82051,0.17,0.03,-1.18
82091,0.27,0.03,-1.18
82131,0.30,0.03,-1.18
82191,0.28,0.03,-1.18
82201,0.28,0.03,-1.18
82211,0.27,0.03,-1.17
82261,0.27,0.03,-1.17
82281,0.20,0.03,-1.17
82321,0.29,0.04,-1.17
82351,0.27,0.03,-1.17
82381,0.18,0.03,-1.17
82391,0.26,0.03,-1.17
82431,0.28,0.03,-1.16
82461,0.27,0.03,-1.17
82471,0.27,0.03,-1.17
82501,0.23,0.04,-1.17
82521,0.34,0.04,-1.16
82531,0.32,0.04,-1.16
82581,0.27,0.03,-1.16
82641,0.23,0.04,-1.15
82651,0.30,0.04,-1.15
82661,0.29,0.04,-1.15
82671,0.28,0.04,-1.15
82681,0.22,0.04,-1.15
82721,0.31,0.04,-1.15
82731,0.30,0.04,-1.15
82741,0.35,0.04,-1.15
82781,0.29,0.04,-1.15
82801,0.29,0.04,-1.16
82811,0.29,0.04,-1.15
82821,0.29,0.04,-1.15
82881,0.32,0.04,-1.15
82891,0.30,0.04,-1.15
82911,0.28,0.04,-1.15
82931,0.22,0.04,-1.14
