6162285,0.00,-0.00,-0.00
6162295,0.00,-0.00,-0.04
6162305,0.00,-0.00,-0.09
6162315,0.01,-0.00,-0.15
6162325,0.01,-0.00,-0.23
6162335,0.02,-0.00,-0.31
6162345,0.03,-0.01,-0.40
6162355,0.03,-0.01,-0.50
6162365,0.04,-0.01,-0.60
6162375,0.05,-0.01,-0.70
6162385,0.05,-0.01,-0.80
6162395,0.06,-0.01,-0.89
6162405,0.06,-0.01,-0.98
6162415,0.07,-0.01,-1.06
6162425,0.08,-0.01,-1.13
6162435,0.09,-0.01,-1.19
6162445,0.09,-0.01,-1.22
6162455,0.10,-0.01,-1.25
6162465,0.10,-0.01,-1.26
6162475,0.10,-0.01,-1.28
6162485,0.11,-0.01,-1.29
6162495,0.11,-0.01,-1.29
6162505,0.11,-0.01,-1.30
6162515,0.11,-0.01,-1.31
6162525,0.11,-0.01,-1.31
6162535,0.11,-0.01,-1.30
6162545,0.11,-0.01,-1.30
6162555,0.11,-0.01,-1.30
6162565,0.11,-0.01,-1.30
6162575,0.11,-0.02,-1.31
6162585,0.11,-0.02,-1.31
6162595,0.11,-0.02,-1.30
6162605,0.11,-0.02,-1.30
6162615,0.11,-0.02,-1.30
6162625,0.10,-0.02,-1.30
6162635,0.10,-0.02,-1.30
6162645,0.10,-0.02,-1.30
6162655,0.10,-0.02,-1.30
6162665,0.10,-0.02,-1.30
6162675,0.10,-0.02,-1.30
6162685,0.10,-0.02,-1.30
6162695,0.10,-0.02,-1.30
6162705,0.10,-0.02,-1.29
6162715,0.10,-0.02,-1.29
6162725,0.10,-0.02,-1.29
6162735,0.10,-0.02,-1.29
6162745,0.10,-0.02,-1.29
6162755,0.10,-0.02,-1.29
6162765,0.10,-0.02,-1.29
6162775,0.10,-0.02,-1.29
6162785,0.10,-0.02,-1.29
6162795,0.10,-0.02,-1.29
6162805,0.09,-0.02,-1.29
6162815,0.09,-0.02,-1.29
6162825,0.09,-0.02,-1.29
6162835,0.09,-0.03,-1.29
6162845,0.09,-0.03,-1.28
6162855,0.09,-0.03,-1.28
6162865,0.09,-0.03,-1.28
6162875,0.09,-0.03,-1.28
6162885,0.09,-0.03,-1.28
6162895,0.09,-0.03,-1.28
6162905,0.09,-0.03,-1.28
6162915,0.09,-0.03,-1.28
6162925,0.08,-0.03,-1.28
6162935,0.08,-0.03,-1.28
6162945,0.08,-0.03,-1.28
6162955,0.08,-0.03,-1.28
6162965,0.08,-0.03,-1.28
6162975,0.08,-0.03,-1.28
6162985,0.08,-0.03,-1.28
6162995,0.08,-0.03,-1.27
6163005,0.08,-0.03,-1.27
6163015,0.08,-0.03,-1.27
6163025,0.08,-0.03,-1.27
6163035,0.08,-0.03,-1.27
6163045,0.08,-0.03,-1.27
6163055,0.08,-0.03,-1.27
6163065,0.08,-0.03,-1.27
6163075,0.08,-0.03,-1.27
6163085,0.08,-0.04,-1.27
6163095,0.08,-0.04,-1.27
6163105,0.08,-0.04,-1.27
6163115,0.07,-0.03,-1.27
6163125,0.07,-0.04,-1.26
6163135,0.07,-0.04,-1.26
6163145,0.07,-0.04,-1.26
6163155,0.07,-0.04,-1.26
6163165,0.07,-0.04,-1.26
6163175,0.07,-0.04,-1.26
6163185,0.07,-0.04,-1.26
6163195,0.07,-0.04,-1.26
6163205,0.07,-0.04,-1.26
6163215,0.07,-0.04,-1.26
6163225,0.07,-0.04,-1.26
6163235,0.07,-0.04,-1.26
6163245,0.07,-0.04,-1.26
6163255,0.07,-0.04,-1.26
6163265,0.07,-0.04,-1.26
6163275,0.06,-0.04,-1.26
6163285,0.06,-0.04,-1.26
6163295,0.06,-0.04,-1.25
6163305,0.06,-0.04,-1.25
6163315,0.06,-0.05,-1.25
6163325,0.06,-0.05,-1.25
6163335,0.06,-0.05,-1.25
6163345,0.06,-0.05,-1.25
6163355,0.06,-0.05,-1.25
6163365,0.06,-0.05,-1.25
6163375,0.06,-0.05,-1.25
6163385,0.06,-0.05,-1.25
6163395,0.06,-0.05,-1.25
6163405,0.06,-0.05,-1.24
6163415,0.06,-0.05,-1.24
6163425,0.06,-0.05,-1.24
